Tipo_Estacao,Local_Nome_Estacao,Contagem,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Valores Nulos,% Nulos
automatica,QUEIMADAS,122,3.23,3.2,0.59,2.0,4.5,32,20.78
automatica,QUERENCIA,107,1.06,1.0,0.33,0.4,1.9,47,30.52
automatica,QUIXADA,16,2.08,2.15,0.5,1.2,2.8,64,80.0
automatica,QUIXERAMOBIM,96,2.02,1.9,1.22,0.2,4.9,58,37.66
automatica,RANCHARIA,126,1.45,1.5,0.42,0.1,2.4,28,18.18
automatica,RANCHO QUEIMADO,61,2.09,2.1,0.22,1.3,2.5,41,40.2
automatica,RECIFE,96,1.54,1.5,0.34,0.0,2.2,23,19.33
automatica,REDENCAO,56,1.47,1.45,0.14,1.2,1.8,8,12.5
automatica,REGISTRO,27,1.76,1.7,0.29,1.4,2.5,66,70.97
automatica,REMANSO,124,3.37,3.4,0.75,1.9,5.2,30,19.48
automatica,RESENDE,141,1.84,1.8,0.23,1.4,2.5,13,8.44
automatica,RIBEIRA DO AMPARO,68,2.22,2.15,0.43,1.6,3.3,6,8.11
automatica,RIO BRANCO,77,1.11,0.8,0.61,0.1,2.1,77,50.0
automatica,RIO BRILHANTE,151,1.32,1.4,0.64,0.0,2.6,3,1.95
automatica,RIO CLARO,65,1.61,1.6,0.2,1.2,2.1,36,35.64
automatica,RIO DE JANEIRO - FORTE DE COPACABANA,149,2.58,2.5,0.44,1.8,3.8,5,3.25
automatica,RIO DE JANEIRO - JACAREPAGUA,84,0.78,0.8,0.12,0.5,1.0,3,3.45
automatica,RIO DE JANEIRO - VILA MILITAR,148,1.3,1.3,0.26,0.6,1.9,6,3.9
automatica,RIO DE JANEIRO-MARAMBAIA,137,3.4,3.4,0.34,2.7,4.2,17,11.04
automatica,RIO DO CAMPO,119,0.8,0.8,0.33,0.0,1.5,35,22.73
automatica,RIO GRANDE,142,3.19,3.2,0.47,2.0,4.4,12,7.79
automatica,RIO NEGRINHO,142,1.0,1.0,0.65,0.0,2.1,12,7.79
automatica,RIO PARDO,137,2.44,2.4,0.46,0.6,3.4,17,11.04
automatica,RIO PARDO DE MINAS,149,2.01,2.2,0.77,0.0,3.5,5,3.25
automatica,RIO SONO,66,1.67,1.6,0.25,1.3,2.2,33,33.33
automatica,RIO URUBU,129,0.59,0.6,0.2,0.1,1.0,25,16.23
automatica,RIO VERDE,120,1.7,1.8,0.5,0.1,2.5,34,22.08
automatica,RONDON DO PARA,114,1.22,1.2,0.36,0.2,2.0,40,25.97
automatica,RONDONOPOLIS,128,1.28,1.3,0.27,0.4,1.9,26,16.88
automatica,ROSARIO OESTE,49,1.07,1.1,0.14,0.8,1.4,17,25.76
automatica,S. G. DA CACHOEIRA,73,0.85,0.8,0.06,0.7,1.0,81,52.6
automatica,S.J. DO RIO CLARO,108,0.79,0.9,0.48,0.0,1.6,46,29.87
automatica,SACRAMENTO,143,1.88,1.9,0.33,1.1,2.6,11,7.14
automatica,SALGUEIRO,50,2.06,2.2,0.61,0.9,3.1,36,41.86
automatica,SALINAS,136,1.3,1.3,0.43,0.1,2.4,18,11.69
automatica,SALINOPOLIS,105,2.1,2.0,1.21,0.1,4.4,49,31.82
automatica,SALTO DO CEU,126,1.28,1.3,0.27,0.6,2.1,28,18.18
automatica,SALVADOR,147,1.44,1.4,0.22,1.0,2.1,7,4.55
automatica,SALVADOR (RADIO FAROL),39,1.44,1.4,0.28,1.0,1.9,41,51.25
automatica,SANTA CRUZ,103,2.51,2.6,0.38,1.6,3.2,51,33.12
automatica,SANTA FE DO ARAGUAIA,55,1.99,1.9,0.26,1.5,2.7,45,45.0
automatica,SANTA MARIA,129,1.99,2.0,0.3,1.3,2.8,25,16.23
automatica,SANTA MARIA DAS BARREIRAS,34,1.94,1.9,0.29,1.5,2.5,13,27.66
automatica,SANTA MARIA MADALENA,66,0.52,0.5,0.21,0.0,0.9,7,9.59
automatica,SANTA RITA DE CASSIA,95,1.69,1.6,0.21,1.4,2.4,59,38.31
automatica,SANTA ROSA,115,1.74,1.7,0.27,0.7,2.5,39,25.32
automatica,SANTA ROSA DO TOCANTINS,58,2.14,2.15,0.36,1.6,3.2,53,47.75
automatica,SANTA TERESA,133,1.86,1.9,0.34,0.9,2.7,21,13.64
automatica,SANTANA DO ARAGUAIA,102,1.19,1.2,0.27,0.5,1.8,52,33.77
automatica,SANTANA DO LIVRAMENTO,101,2.44,2.7,0.87,0.1,3.6,53,34.42
automatica,SANTAREM,72,1.26,1.2,0.21,1.0,2.0,38,34.55
automatica,SANTIAGO,120,2.14,2.0,0.48,1.0,3.7,34,22.08
automatica,SANTO ANTONIO DO LESTE,121,2.01,2.1,0.75,0.1,3.8,33,21.43
automatica,SANTO AUGUSTO,142,1.79,2.1,0.93,0.0,3.2,12,7.79
automatica,SAO BORJA,130,1.77,2.15,1.1,0.0,3.5,24,15.58
automatica,SAO CARLOS,143,1.69,1.8,0.43,0.8,2.6,11,7.14
automatica,SAO FELIX DO ARAGUAIA,91,1.35,1.4,0.39,0.2,2.1,63,40.91
automatica,SAO FELIX DO XINGU,55,1.6,1.6,0.15,1.4,2.1,41,42.71
automatica,SAO GABRIEL,143,2.09,2.2,0.56,0.2,3.0,11,7.14
automatica,SAO GABRIEL DO OESTE,123,1.37,1.4,0.68,0.2,2.9,31,20.13
automatica,SAO GONCALO,147,1.75,1.7,0.66,0.3,3.5,7,4.55
automatica,SAO JOAO DEL REI,138,2.33,2.3,0.31,1.6,3.0,16,10.39
automatica,SAO JOAO DO PIAUI,110,2.07,2.05,0.7,0.9,3.7,44,28.57
automatica,SAO JOAQUIM,149,2.19,2.3,0.57,0.9,3.2,5,3.25
automatica,SAO JOSE DO XINGU,28,1.42,1.4,0.23,1.0,1.9,41,59.42
automatica,SAO JOSE DOS AUSENTES,68,5.62,5.6,0.43,4.3,6.6,86,55.84
automatica,SAO LUIS,146,1.81,1.7,0.65,0.5,3.1,8,5.19
automatica,SAO LUIS DO QUITUNDE,110,1.83,1.8,0.28,1.3,2.4,44,28.57
automatica,SAO LUIZ DO PARAITINGA,123,1.36,1.4,0.34,0.1,2.0,31,20.13
automatica,SAO LUIZ GONZAGA,134,2.68,2.7,0.34,1.2,3.4,20,12.99
automatica,SAO MATEUS,150,2.42,2.4,0.39,1.6,3.4,4,2.6
automatica,SAO MATEUS DO SUL,141,0.57,0.6,0.17,0.1,0.9,13,8.44
automatica,SAO MIGUEL ARCANJO,126,2.23,2.25,0.56,0.3,3.4,28,18.18
automatica,SAO MIGUEL DO ARAGUAIA,34,1.96,1.9,0.27,1.3,2.6,55,61.8
automatica,SAO MIGUEL DO OESTE,119,2.79,2.8,0.32,2.1,3.7,35,22.73
automatica,SAO PAULO - INTERLAGOS,73,1.95,1.9,0.26,1.5,2.5,7,8.75
automatica,SAO PAULO - MIRANTE,152,1.82,1.9,0.37,0.0,2.4,2,1.3
automatica,SAO PEDRO DO PIAUI,83,1.75,1.7,0.22,1.4,2.4,12,12.63
automatica,SAO RAIMUNDO NONATO,109,1.9,1.8,0.59,0.7,3.7,45,29.22
