Data,PIB - acumulado em 12 meses - R$ - Banco Central do Brasil- Sistema Gerenciador de Séries Temporais (Bacen Outras/SGS) - BM12_PIBAC12,
2002.02,1335441.4,
2002.03,1345582.3,
2002.04,1358396.3,
2002.05,1370746.6,
2002.06,1389221.6,
2002.07,1405319.2,
2002.08,1420054.7,
2002.09,1436491.7,
2002.10,1453478.1,
2002.11,1471562.8,
2002.12,1488787.3,
2003.01,1503589.9,
2003.02,1523486.4,
2003.03,1543732.2,
2003.04,1564734.4,
2003.05,1580787.7,
2003.06,1595356.7,
2003.07,1614470.7,
2003.08,1631490,
2003.09,1654912,
2003.10,1676712.4,
2003.11,1694390.2,
2003.12,1717950.4,
2004.01,1735331.5,
2004.02,1746819.2,
2004.03,1765492.2,
2004.04,1781058,
2004.05,1800951.1,
2004.06,1828299.9,
2004.07,1853700.2,
2004.08,1878059.7,
2004.09,1894202.4,
2004.10,1909813,
2004.11,1933090.2,
2004.12,1957751.2,
2005.01,1976732.7,
2005.02,1994573,
2005.03,2012678.1,
2005.04,2032903.2,
2005.05,2050901,
2005.06,2066440.6,
2005.07,2079143.4,
2005.08,2097211.1,
2005.09,2114047.4,
2005.10,2132693.9,
2005.11,2150566.9,
2005.12,2170584.5,
2006.01,2192609.2,
2006.02,2210389.7,
2006.03,2225144.4,
2006.04,2232996,
2006.05,2253373.6,
2006.06,2271563.6,
2006.07,2294464.3,
2006.08,2317035.7,
2006.09,2336552.2,
2006.10,2361640.9,
2006.11,2386570.6,
2006.12,2409449.9,
2007.01,2435015.8,
2007.02,2459237.7,
2007.03,2486603.3,
2007.04,2516701.6,
2007.05,2545365.2,
2007.06,2575281.9,
2007.07,2602131.6,
2007.08,2627332.8,
2007.09,2649280.2,
2007.10,2676947.9,
2007.11,2699162.1,
2007.12,2720262.9,
2008.01,2746380,
2008.02,2776356.3,
2008.03,2800891.8,
2008.04,2834556.8,
2008.05,2862955.9,
2008.06,2899758.4,
2008.07,2944030,
2008.08,2978255.1,
2008.09,3020522.3,
2008.10,3059105.4,
2008.11,3087863.3,
2008.12,3109803.1,
2009.01,3122486.9,
2009.02,3133825.9,
2009.03,3153875.1,
2009.04,3164637.8,
2009.05,3178020,
2009.06,3187927.6,
2009.07,3195271.3,
2009.08,3210275.9,
2009.09,3228168,
2009.10,3249541.6,
2009.11,3283901.4,
2009.12,3333039.4,
2010.01,3372087.7,
2010.02,3413806.6,
2010.03,3463309.6,
2010.04,3510858.7,
2010.05,3558543.7,
2010.06,3603877,
2010.07,3650909.3,
2010.08,3700894.1,
2010.09,3748968.6,
2010.10,3792038.4,
2010.11,3843656.2,
2010.12,3885847,
2011.01,3930197.1,
2011.02,3979575.6,
2011.03,4015980.5,
2011.04,4058128.5,
2011.05,4108534.5,
2011.06,4158548,
2011.07,4199409,
2011.08,4242190.2,
2011.09,4272947.9,
2011.10,4306824.6,
2011.11,4340099.3,
2011.12,4376382,
2012.01,4410803.2,
2012.02,4443538.2,
2012.03,4489323.3,
2012.04,4522649.4,
2012.05,4557310.8,
2012.06,4585734.8,
2012.07,4627786.4,
2012.08,4671512.3,
2012.09,4703853.4,
2012.10,4748418.4,
2012.11,4782961.9,
2012.12,4814760,
2013.01,4861597,
2013.02,4892861.3,
2013.03,4926899.9,
2013.04,4987525.1,
2013.05,5026998.3,
2013.06,5066354.6,
2013.07,5109931.1,
2013.08,5144961,
2013.09,5190040.1,
2013.10,5234348,
2013.11,5278072.2,
2013.12,5331619,
2014.01,5376007.6,
2014.02,5433414.8,
2014.03,5475984.2,
2014.04,5509199.8,
2014.05,5549137.5,
2014.06,5575724,
2014.07,5610041.6,
2014.08,5640050.4,
2014.09,5683722.3,
2014.10,5716931.5,
2014.11,5745089.6,
2014.12,5778953,
2015.01,5799930.2,
2015.02,5811197,
2015.03,5849624.5,
2015.04,5867021.2,
2015.05,5878032.1,
2015.06,5907266.7,
2015.07,5927531.2,
2015.08,5945149.3,
2015.09,5953381.4,
2015.10,5965735.2,
2015.11,5980792.5,
2015.12,5995787,
2016.01,6003090.6,
2016.02,6026832.9,
2016.03,6039427.2,
2016.04,6063174.1,
2016.05,6087401.5,
2016.06,6118507.6,
2016.07,6133276.4,
2016.08,6162653.4,
2016.09,6187449.8,
2016.10,6205861.2,
2016.11,6238414.4,
2016.12,6269328,
2017.01,6301483.6,
2017.02,6321873.5,
2017.03,6354702.5,
2017.04,6371482.8,
2017.05,6405950.6,
2017.06,6426381.9,
2017.07,6452853.5,
2017.08,6478049,
2017.09,6497846.7,
2017.10,6526906.9,
2017.11,6554766.5,
2017.12,6585479,
2018.01,6624245.2,
2018.02,6653379.6,
2018.03,6681888.7,
2018.04,6731915.9,
2018.05,6743043.7,
2018.06,6785258.1,
2018.07,6829096.6,
2018.08,6872180.8,
2018.09,6904478.5,
2018.10,6947924.9,
2018.11,6981658.5,
2018.12,7004141,
2019.01,7030188.9,
2019.02,7066758,
2019.03,7079611.5,
2019.04,7105475.2,
2019.05,7159219.7,
2019.06,7172273.7,
2019.07,7212258.4,
2019.08,7242768.5,
2019.09,7285028.2,
2019.10,7322418.5,
2019.11,7352752.8,
2019.12,7389131,
2020.01,7424404.3,
2020.02,7466135.3,
2020.03,7499672,
2020.04,7453770.8,
2020.05,7415632.1,
2020.06,7425634.4,
2020.07,7437348.8,
2020.08,7445193.7,
2020.09,7474347.6,
2020.10,7498083.3,
2020.11,7540172.5,
2020.12,7609597,
2021.01,7674278,
2021.02,7763176.3,
2021.03,7898172.6,
2021.04,8068978,
2021.05,8222852.5,
2021.06,8349087.7,
2021.07,8471380.6,
2021.08,8601423.9,
2021.09,8715615.4,
2021.10,8815761.3,
2021.11,8923949.1,
2021.12,9012142,
2022.01,9058215.6,
2022.02,9104062.7,
2022.03,9175000,
2022.04,9269073,
2022.05,9379486.9,
2022.06,9488842.7,
2022.07,9592086.6,
2022.08,9698397.3,
2022.09,9794173.6,
2022.10,9901384.6,
2022.11,9993570.4,
2022.12,10079676.7,
2023.01,10167549.2,
2023.02,10245765.6,
2023.03,10342854.3,
2023.04,10415141.4,
2023.05,10476353.9,
2023.06,10526477.7,
2023.07,10568544,
2023.08,10618159.4,
2023.09,10666257.2,
2023.10,10729674.6,
2023.11,10799372.9,
2023.12,10856112.3,
2024.01,10919308.2,
2024.02,10974824.2,
2024.03,10987323.3,
2024.04,11057815.7,
2024.05,11104367.5,
2024.06,11173868.6,
2024.07,11267854.1,
2024.08,11337641.8,
2024.09,11413444.1,
2024.10,11484538,
