Data,Último,Abertura,Máxima,Mínima,Bolsa,Moeda,Ano,Mes,Trimestre,Semestre,Dia_Semana,Dia_Util,Data_Vencimento,Safra,Dias_Ate_Vencimento,Periodo_Contrato,Epoca_Safra,Ultimo,Maxima,Minima,Variacao,Mes_Vencimento,Ano_Vencimento,Media_Movel_5d,Media_Movel_21d,Volatilidade_21d,Volume_Normalizado
2014-06-01,"24,18",24.18,"24,18","24,18",B3,BRL,2014,6,2,1,Sunday,Não,2025-03-01,2013/2014,3926,Longo,Desenvolvimento,24.18,24.18,24.18,-9.64,Mar,2025,25.818,28.29380952380952,8.023235008399045,
2014-06-01,"23,80",26.45,"26,70","23,78",B3,BRL,2014,6,2,1,Sunday,Não,2025-05-01,2013/2014,3987,Longo,Desenvolvimento,23.8,26.7,23.78,-10.02,Mai,2025,25.158,28.166190476190476,8.117150127383145,
2014-06-01,"424,25",465.0,"470,50","422,50",CFD,USD,2014,6,2,1,Sunday,Não,2024-12-01,2013/2014,3836,Longo,Desenvolvimento,424.25,470.5,422.5,-8.91,Dez,2024,472.7,565.7261904761905,7.572215597011155,
2014-06-01,"424,25",465.0,"470,50","422,50",CME,USD,2014,6,2,1,Sunday,Não,2025-03-01,2013/2014,3926,Longo,Desenvolvimento,424.25,470.5,422.5,-8.91,Mar,2025,462.55,492.7857142857143,7.330030435849231,
2014-06-01,"418,75",456.75,"461,50","416,75",CME,USD,2014,6,2,1,Sunday,Não,2025-03-01,2013/2014,3926,Longo,Desenvolvimento,418.75,461.5,416.75,-8.57,Mar,2025,453.0,488.5952380952381,7.122187565227806,
2014-06-01,"425,25",455.5,"460,00","423,50",CME,USD,2014,6,2,1,Sunday,Não,2025-05-01,2013/2014,3987,Longo,Desenvolvimento,425.25,460.0,423.5,-7.05,Mai,2025,443.45,484.9404761904762,6.892281397124086,
2014-06-01,"436,25",465.25,"468,75","434,50",CME,USD,2014,6,2,1,Sunday,Não,2025-07-01,2013/2014,4048,Longo,Desenvolvimento,436.25,468.75,434.5,-6.48,Jul,2025,434.9,481.98809523809524,6.63305503125211,
2014-06-01,"443,50",471.0,"475,00","442,00",CME,USD,2014,6,2,1,Sunday,Não,2025-09-01,2013/2014,4110,Longo,Desenvolvimento,443.5,475.0,442.0,-6.24,Set,2025,429.6,479.0595238095238,6.241894858820622,
2014-06-01,"450,00",477.5,"480,50","448,50",CME,USD,2014,6,2,1,Sunday,Não,2025-12-01,2013/2014,4201,Longo,Desenvolvimento,450.0,480.5,448.5,-6.05,Dez,2025,434.75,476.20238095238096,5.833997404377689,
2014-06-01,"447,25",470.0,"474,00","448,25",CME,USD,2014,6,2,1,Sunday,Não,2026-03-01,2013/2014,4291,Longo,Desenvolvimento,447.25,474.0,448.25,-4.84,Mar,2026,440.45,473.1666666666667,5.437636741575629,
2014-07-01,"23,20",24.4,"24,45","23,20",B3,BRL,2014,7,3,2,Tuesday,Sim,2025-01-01,2013/2014,3837,Longo,Colheita,23.2,24.45,23.2,-5.69,Jan,2025,24.445999999999998,27.97285714285714,8.143385425636945,
2014-07-01,"23,48",23.16,"23,80","22,65",B3,BRL,2014,7,3,2,Tuesday,Sim,2025-03-01,2013/2014,3896,Longo,Colheita,23.48,23.8,22.65,-2.89,Mar,2025,23.852,27.796666666666667,8.097728458677544,
2014-07-01,"24,63",23.74,"24,80","22,95",B3,BRL,2014,7,3,2,Tuesday,Sim,2025-05-01,2013/2014,3957,Longo,Colheita,24.63,24.8,22.95,3.49,Mai,2025,23.857999999999997,27.67571428571428,8.12310253301685,
2014-07-01,"357,00",423.75,"423,75","356,50",CFD,USD,2014,7,3,2,Tuesday,Sim,2024-12-01,2013/2014,3806,Longo,Colheita,357.0,423.75,356.5,-15.85,Dez,2024,452.6,546.7380952380952,8.093328675373254,
2014-07-01,"357,00",423.75,"423,75","356,50",CME,USD,2014,7,3,2,Tuesday,Sim,2025-03-01,2013/2014,3896,Longo,Colheita,357.0,423.75,356.5,-15.85,Mar,2025,426.8,465.6904761904762,5.696854938514416,
2014-07-01,"367,00",418.0,"418,50","364,25",CME,USD,2014,7,3,2,Tuesday,Sim,2025-03-01,2013/2014,3896,Longo,Colheita,367.0,418.5,364.25,-12.36,Mar,2025,412.95,458.45238095238096,5.570425990378618,
2014-07-01,"379,50",424.0,"424,75","376,25",CME,USD,2014,7,3,2,Tuesday,Sim,2025-05-01,2013/2014,3957,Longo,Colheita,379.5,424.75,376.25,-10.76,Mai,2025,400.15,452.0833333333333,5.2909201648178446,
2014-07-01,"387,75",436.0,"436,00","384,50",CME,USD,2014,7,3,2,Tuesday,Sim,2025-07-01,2013/2014,4018,Longo,Colheita,387.75,436.0,384.5,-11.12,Jul,2025,387.7,446.29761904761904,4.930033951394723,
2014-07-01,"395,25",443.25,"443,25","392,25",CME,USD,2014,7,3,2,Tuesday,Sim,2025-09-01,2013/2014,4080,Longo,Colheita,395.25,443.25,392.25,-10.88,Set,2025,377.3,440.5238095238095,4.430538879403347,
2014-07-01,"402,50",450.5,"450,50","399,75",CME,USD,2014,7,3,2,Tuesday,Sim,2025-12-01,2013/2014,4171,Longo,Colheita,402.5,450.5,399.75,-10.56,Dez,2025,386.4,434.8095238095238,3.725320887425085,
2014-07-01,"410,75",448.0,"448,00","405,75",CME,USD,2014,7,3,2,Tuesday,Sim,2026-03-01,2013/2014,4261,Longo,Colheita,410.75,448.0,405.75,-8.16,Mar,2026,395.15,429.2738095238095,2.548508060284144,
2014-08-01,"23,01",24.5,"24,50","22,91",B3,BRL,2014,8,3,2,Friday,Sim,2025-01-01,2013/2014,3806,Longo,Colheita,23.01,24.5,22.91,-0.82,Jan,2025,23.624,27.459047619047617,8.101897867019742,
2014-08-01,"23,99",23.6,"25,00","23,17",B3,BRL,2014,8,3,2,Friday,Sim,2025-03-01,2013/2014,3865,Longo,Colheita,23.99,25.0,23.17,2.17,Mar,2025,23.662,27.301428571428573,8.133454136495526,
2014-08-01,"25,34",24.6,"25,99","24,15",B3,BRL,2014,8,3,2,Friday,Sim,2025-05-01,2013/2014,3926,Longo,Colheita,25.34,25.99,24.15,2.88,Mai,2025,24.09,27.185714285714283,8.150505710281621,
2014-08-01,"359,00",357.0,"370,00","347,75",CFD,USD,2014,8,3,2,Friday,Sim,2024-12-01,2013/2014,3775,Longo,Colheita,359.0,370.0,347.75,0.56,Dez,2024,424.0,528.2142857142857,8.121662596619812,
2014-08-01,"359,00",357.0,"370,00","347,75",CME,USD,2014,8,3,2,Friday,Sim,2025-03-01,2013/2014,3865,Longo,Colheita,359.0,370.0,347.75,0.56,Mar,2025,391.05,424.1904761904762,3.3381079613914038,
2014-08-01,"364,75",366.75,"381,00","358,00",CME,USD,2014,8,3,2,Friday,Sim,2025-03-01,2013/2014,3865,Longo,Colheita,364.75,381.0,358.0,-0.61,Mar,2025,386.45,419.75,3.717706154017414,
2014-08-01,"377,75",379.25,"394,00","370,75",CME,USD,2014,8,3,2,Friday,Sim,2025-05-01,2013/2014,3926,Longo,Colheita,377.75,394.0,370.75,-0.46,Mai,2025,382.95,415.95238095238096,4.040943548467939,
2014-08-01,"386,00",387.75,"402,25","378,25",CME,USD,2014,8,3,2,Friday,Sim,2025-07-01,2013/2014,3987,Longo,Colheita,386.0,402.25,378.25,-0.45,Jul,2025,379.65,412.1190476190476,4.345313074369396,
2014-08-01,"392,75",395.25,"409,00","385,25",CME,USD,2014,8,3,2,Friday,Sim,2025-09-01,2013/2014,4049,Longo,Colheita,392.75,409.0,385.25,-0.63,Set,2025,376.05,408.29761904761904,4.5839389383450655,
2014-08-01,"399,25",403.75,"414,25","393,00",CME,USD,2014,8,3,2,Friday,Sim,2025-12-01,2013/2014,4140,Longo,Colheita,399.25,414.25,393.0,-0.81,Dez,2025,384.1,404.5,4.770894395533528,
2014-08-01,"406,00",410.5,"422,00","398,25",CME,USD,2014,8,3,2,Friday,Sim,2026-03-01,2013/2014,4230,Longo,Colheita,406.0,422.0,398.25,-1.16,Mar,2026,392.35,401.45238095238096,4.820914159506807,
2014-09-01,"23,25",23.0,"23,80","21,51",B3,BRL,2014,9,3,2,Monday,Sim,2025-01-01,2014/2015,3775,Longo,Comercialização,23.25,23.8,21.51,1.04,Jan,2025,24.044,26.725238095238097,6.621767890827947,
2014-09-01,"24,35",23.96,"24,90","22,31",B3,BRL,2014,9,3,2,Monday,Sim,2025-03-01,2014/2015,3834,Longo,Comercialização,24.35,24.9,22.31,1.5,Mar,2025,23.988000000000003,26.423809523809528,5.77397317195674,
2014-09-01,"25,35",25.3,"26,40","23,50",B3,BRL,2014,9,3,2,Monday,Sim,2025-05-01,2014/2015,3895,Longo,Comercialização,25.35,26.4,23.5,0.04,Mai,2025,24.456,26.198571428571427,5.220021939381006,
2014-09-01,"320,75",357.5,"360,75","319,50",CFD,USD,2014,9,3,2,Monday,Sim,2024-12-01,2014/2015,3744,Longo,Comercialização,320.75,360.75,319.5,-10.65,Dez,2024,385.35,510.23809523809524,8.255219041828713,
2014-09-01,"320,75",357.5,"360,75","319,50",CME,USD,2014,9,3,2,Monday,Sim,2025-03-01,2014/2015,3834,Longo,Comercialização,320.75,360.75,319.5,-10.65,Mar,2025,380.95,396.5238095238095,4.8833456525116725,
2014-09-01,"333,50",363.25,"367,50","332,50",CME,USD,2014,9,3,2,Monday,Sim,2025-03-01,2014/2015,3834,Longo,Comercialização,333.5,367.5,332.5,-8.57,Mar,2025,370.45,392.4642857142857,4.8833456525116725,
2014-09-01,"342,00",376.0,"380,25","341,00",CME,USD,2014,9,3,2,Monday,Sim,2025-05-01,2014/2015,3895,Longo,Comercialização,342.0,380.25,341.0,-9.46,Mai,2025,360.3,388.5,4.9289822189054,
2014-09-01,"349,50",384.5,"388,25","348,00",CME,USD,2014,9,3,2,Monday,Sim,2025-07-01,2014/2015,3956,Longo,Comercialização,349.5,388.25,348.0,-9.46,Jul,2025,350.35,384.3690476190476,4.972464656677275,
2014-09-01,"356,75",391.25,"395,00","356,00",CME,USD,2014,9,3,2,Monday,Sim,2025-09-01,2014/2015,4018,Longo,Comercialização,356.75,395.0,356.0,-9.17,Set,2025,340.5,380.23809523809524,5.002983681193214,
2014-09-01,"366,75",398.0,"401,25","365,50",CME,USD,2014,9,3,2,Monday,Sim,2025-12-01,2014/2015,4109,Longo,Comercialização,366.75,401.25,365.5,-8.14,Dez,2025,349.7,376.2738095238095,5.009444698814039,
2014-09-01,"376,25",404.25,"408,50","375,00",CME,USD,2014,9,3,2,Monday,Sim,2026-03-01,2014/2015,4199,Longo,Comercialização,376.25,408.5,375.0,-7.33,Mar,2026,358.25,372.89285714285717,4.989284995057373,
2014-10-01,"27,62",23.2,"29,94","22,72",B3,BRL,2014,10,4,2,Wednesday,Sim,2025-01-01,2014/2015,3745,Longo,Comercialização,27.62,29.94,22.72,18.8,Jan,2025,25.182,26.07095238095238,7.005144266214378,
2014-10-01,"29,23",24.36,"31,50","23,98",B3,BRL,2014,10,4,2,Wednesday,Sim,2025-03-01,2014/2015,3804,Longo,Comercialização,29.23,31.5,23.98,20.04,Mar,2025,25.96,26.02809523809524,8.511017733335,
2014-10-01,"29,20",25.2,"31,00","25,20",B3,BRL,2014,10,4,2,Wednesday,Sim,2025-05-01,2014/2015,3865,Longo,Comercialização,29.2,31.0,25.2,15.19,Mai,2025,27.15,25.98761904761905,9.221477905515187,
2014-10-01,"376,75",320.25,"381,00","318,25",CFD,USD,2014,10,4,2,Wednesday,Sim,2024-12-01,2014/2015,3714,Longo,Comercialização,376.75,381.0,318.25,17.46,Dez,2024,367.55,492.9166666666667,9.21902081361707,
2014-10-01,"376,75",320.25,"381,00","318,25",CME,USD,2014,10,4,2,Wednesday,Sim,2025-03-01,2014/2015,3804,Longo,Comercialização,376.75,381.0,318.25,17.46,Mar,2025,365.2,373.8333333333333,6.93511060096513,
2014-10-01,"389,25",332.5,"394,25","330,50",CME,USD,2014,10,4,2,Wednesday,Sim,2025-03-01,2014/2015,3804,Longo,Comercialização,389.25,394.25,330.5,16.72,Mar,2025,373.15,374.89285714285717,8.248078044524753,
2014-10-01,"398,00",341.0,"402,50","339,25",CME,USD,2014,10,4,2,Wednesday,Sim,2025-05-01,2014/2015,3865,Longo,Comercialização,398.0,402.5,339.25,16.37,Mai,2025,381.4,375.7738095238095,9.20292231020228,
2014-10-01,"404,25",348.5,"408,25","346,75",CME,USD,2014,10,4,2,Wednesday,Sim,2025-07-01,2014/2015,3926,Longo,Comercialização,404.25,408.25,346.75,15.67,Jul,2025,388.9,376.5595238095238,9.812682925198185,
2014-10-01,"410,25",356.5,"413,25","354,25",CME,USD,2014,10,4,2,Wednesday,Sim,2025-09-01,2014/2015,3988,Longo,Comercialização,410.25,413.25,354.25,15.0,Set,2025,395.7,377.2738095238095,10.18272858464622,
2014-10-01,"418,50",366.75,"420,00","364,25",CME,USD,2014,10,4,2,Wednesday,Sim,2025-12-01,2014/2015,4079,Longo,Comercialização,418.5,420.0,364.25,14.11,Dez,2025,404.05,378.0357142857143,10.347411569589564,
2014-10-01,"426,75",376.25,"428,00","374,00",CME,USD,2014,10,4,2,Wednesday,Sim,2026-03-01,2014/2015,4169,Longo,Comercialização,426.75,428.0,374.0,13.42,Mar,2026,411.55,378.79761904761904,10.463992295577464,
2014-11-01,"29,21",27.5,"32,86","26,35",B3,BRL,2014,11,4,2,Saturday,Não,2025-01-01,2014/2015,3714,Longo,Entressafra,29.21,32.86,26.35,5.76,Jan,2025,28.122000000000003,25.957142857142852,9.311174801843007,
2014-11-01,"29,57",29.2,"32,96","28,40",B3,BRL,2014,11,4,2,Saturday,Não,2025-03-01,2014/2015,3773,Longo,Entressafra,29.57,32.96,28.4,1.16,Mar,2025,28.966,25.914285714285718,9.311356762679901,
2014-11-01,"28,00",29.34,"32,69","27,30",B3,BRL,2014,11,4,2,Saturday,Não,2025-05-01,2014/2015,3834,Longo,Entressafra,28.0,32.69,27.3,-4.11,Mai,2025,29.042,25.824761904761907,9.354443812842057,
2014-11-01,"375,75",374.5,"389,00","359,00",CFD,USD,2014,11,4,2,Saturday,Não,2024-12-01,2014/2015,3683,Longo,Entressafra,375.75,389.0,359.0,-0.27,Dez,2024,357.85,476.54761904761904,9.23458568952299,
2014-11-01,"375,75",374.5,"389,00","359,00",CME,USD,2014,11,4,2,Saturday,Não,2025-03-01,2014/2015,3773,Longo,Entressafra,375.75,389.0,359.0,-0.27,Mar,2025,407.1,379.5952380952381,10.471345663285105,
2014-11-01,"388,75",386.75,"401,25","371,50",CME,USD,2014,11,4,2,Saturday,Não,2025-03-01,2014/2015,3773,Longo,Entressafra,388.75,401.25,371.5,-0.13,Mar,2025,404.0,380.73809523809524,10.465931942668613,
2014-11-01,"397,00",395.75,"409,75","380,25",CME,USD,2014,11,4,2,Saturday,Não,2025-05-01,2014/2015,3834,Longo,Entressafra,397.0,409.75,380.25,-0.25,Mai,2025,401.35,381.6547619047619,10.463561125571504,
2014-11-01,"403,75",401.25,"417,00","387,00",CME,USD,2014,11,4,2,Saturday,Não,2025-07-01,2014/2015,3895,Longo,Entressafra,403.75,417.0,387.0,-0.12,Jul,2025,398.4,382.5,10.459924610490393,
2014-11-01,"409,00",408.25,"423,25","393,75",CME,USD,2014,11,4,2,Saturday,Não,2025-09-01,2014/2015,3957,Longo,Entressafra,409.0,423.25,393.75,-0.3,Set,2025,394.85,383.2738095238095,10.45597798937457,
2014-11-01,"416,75",415.25,"432,25","402,50",CME,USD,2014,11,4,2,Saturday,Não,2025-12-01,2014/2015,4048,Longo,Entressafra,416.75,432.25,402.5,-0.42,Dez,2025,403.05,384.10714285714283,10.451000020503837,
