Tipo_Estacao,Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Direcao_Vento_Predominante_Mensal_graus,Evaporacao_Piche_Mensal_mm,Evapotranspiracao_Potencial_BH_Mensal_mm,Evapotranspiracao_Real_BH_Mensal_mm,Insolacao_Total_Mensal_horas,Nebulosidade_Media_Mensal_decimos,Numero_de_dias_com_precip_pluv_mensal,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Precipitacao_total_mensal_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Pressao_atmosferica_media_mensal_mB,Pressao_atmosferica_nivel_mar_media_mensal_mB,Temperatura_maxima_media_mensal_Celsius,Temperatura_media_compensada_mensal_Celsius,Temperatura_media_mensal_auto_Celsius,Temperatura_minima_media_mensal_Celsius,Umidade_relativa_ar_media_mensal_percentual,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MAXIMA_mensal_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_metros_seg,Visibilidade_media_mensal_codigo
automatica,01/01/2012,31/10/2024,30/11/2014,Mensal,BRASILIA,Operante,A035,-1578944444.0,-4792583332.0,1160.96,,,,,,,,24.0,172.8,,885.4,,,,,21.8,,,5.9,,2.1,,
automatica,01/01/2012,31/10/2024,31/12/2014,Mensal,BRASILIA,Operante,A036,-1578944444.0,-4792583332.0,1160.96,,,,,,,,25.0,328.6,,886.0,,,,,21.1,,,6.3,,2.4,,
automatica,01/01/2012,31/10/2024,31/01/2015,Mensal,BRASILIA,Operante,A037,-1578944444.0,-4792583332.0,1160.96,,,,,,,,9.0,81.2,,887.0,,,,,23.0,,,7.2,,2.1,,
automatica,01/01/2012,31/10/2024,28/02/2015,Mensal,BRASILIA,Operante,A038,-1578944444.0,-4792583332.0,1160.96,,,,,,,,14.0,115.4,,886.6,,,,,21.8,,,7.2,,2.5,,
automatica,01/01/2012,31/10/2024,31/03/2015,Mensal,BRASILIA,Operante,A039,-1578944444.0,-4792583332.0,1160.96,,,,,,,,24.0,280.6,,886.6,,,,,20.8,,,5.5,,1.8,,
automatica,01/01/2012,31/10/2024,30/04/2015,Mensal,BRASILIA,Operante,A040,-1578944444.0,-4792583332.0,1160.96,,,,,,,,24.0,192.0,,887.0,,,,,21.5,,,4.8,,1.8,,
automatica,01/01/2012,31/10/2024,31/05/2015,Mensal,BRASILIA,Operante,A041,-1578944444.0,-4792583332.0,1160.96,,,,,,,,9.0,43.8,,888.6,,,,,19.8,,,4.9,,2.3,,
automatica,01/01/2012,31/10/2024,30/06/2015,Mensal,BRASILIA,Operante,A042,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,890.3,,,,,19.2,,,6.7,,2.5,,
automatica,01/01/2012,31/10/2024,31/07/2015,Mensal,BRASILIA,Operante,A043,-1578944444.0,-4792583332.0,1160.96,,,,,,,,2.0,0.8,,889.8,,,,,20.0,,,5.6,,2.4,,
automatica,01/01/2012,31/10/2024,31/08/2015,Mensal,BRASILIA,Operante,A044,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,889.1,,,,,21.3,,,6.4,,2.8,,
automatica,01/01/2012,31/10/2024,30/09/2015,Mensal,BRASILIA,Operante,A045,-1578944444.0,-4792583332.0,1160.96,,,,,,,,7.0,19.0,,887.0,,,,,24.4,,,6.5,,2.3,,
automatica,01/01/2012,31/10/2024,31/10/2015,Mensal,BRASILIA,Operante,A046,-1578944444.0,-4792583332.0,1160.96,,,,,,,,7.0,43.0,,886.6,,,,,25.5,,,6.5,,2.4,,
automatica,01/01/2012,31/10/2024,30/11/2015,Mensal,BRASILIA,Operante,A047,-1578944444.0,-4792583332.0,1160.96,,,,,,,,18.0,143.6,,885.3,,,,,23.5,,,8.5,,2.2,,
automatica,01/01/2012,31/10/2024,31/12/2015,Mensal,BRASILIA,Operante,A048,-1578944444.0,-4792583332.0,1160.96,,,,,,,,21.0,153.2,,886.9,,,,,23.0,,,5.8,,2.1,,
automatica,01/01/2012,31/10/2024,31/01/2016,Mensal,BRASILIA,Operante,A049,-1578944444.0,-4792583332.0,1160.96,,,,,,,,27.0,345.0,,885.4,,,,,21.3,,,5.6,,2.5,,
automatica,01/01/2012,31/10/2024,29/02/2016,Mensal,BRASILIA,Operante,A050,-1578944444.0,-4792583332.0,1160.96,,,,,,,,10.0,75.2,,887.4,,,,,23.1,,,6.7,,2.1,,
automatica,01/01/2012,31/10/2024,31/03/2016,Mensal,BRASILIA,Operante,A051,-1578944444.0,-4792583332.0,1160.96,,,,,,,,16.0,130.2,,888.0,,,,,22.6,,,5.1,,2.2,,
automatica,01/01/2012,31/10/2024,30/04/2016,Mensal,BRASILIA,Operante,A052,-1578944444.0,-4792583332.0,1160.96,,,,,,,,2.0,9.8,,887.7,,,,,22.9,,,6.1,,2.3,,
automatica,01/01/2012,31/10/2024,31/05/2016,Mensal,BRASILIA,Operante,A053,-1578944444.0,-4792583332.0,1160.96,,,,,,,,3.0,3.2,,889.4,,,,,21.7,,,5.0,,2.1,,
automatica,01/01/2012,31/10/2024,30/06/2016,Mensal,BRASILIA,Operante,A054,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,890.5,,,,,20.1,,,6.2,,2.4,,
automatica,01/01/2012,31/10/2024,31/07/2016,Mensal,BRASILIA,Operante,A055,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,890.0,,,,,20.6,,,6.2,,2.4,,
automatica,01/01/2012,31/10/2024,31/08/2016,Mensal,BRASILIA,Operante,A056,-1578944444.0,-4792583332.0,1160.96,,,,,,,,4.0,17.4,,889.1,,,,,21.7,,,6.5,,2.4,,
automatica,01/01/2012,31/10/2024,30/09/2016,Mensal,BRASILIA,Operante,A057,-1578944444.0,-4792583332.0,1160.96,,,,,,,,4.0,52.8,,888.1,,,,,23.8,,,6.2,,2.6,,
automatica,01/01/2012,31/10/2024,31/10/2016,Mensal,BRASILIA,Operante,A058,-1578944444.0,-4792583332.0,1160.96,,,,,,,,12.0,87.6,,886.2,,,,,23.2,,,7.6,,2.4,,
automatica,01/01/2012,31/10/2024,30/11/2016,Mensal,BRASILIA,Operante,A059,-1578944444.0,-4792583332.0,1160.96,,,,,,,,20.0,248.4,,885.6,,,,,21.6,,,5.9,,2.4,,
